event,run,cluster_size
54874,1002,3,18.9108
54897,1002,6,36.3151
55032,1002,4,37.5391
55112,1002,5,40.6454
55135,1002,5,38.7166
55197,1002,5,32.0935
55236,1002,4,28.5621
55457,1002,6,35.5638
55685,1002,5,44.6712
55698,1002,4,34.0835
55726,1002,2,17.7659
55852,1002,6,29.3416
56069,1002,2,16.8913
56140,1002,9,41.2498
56159,1002,8,36.9902
56175,1002,5,35.4436
56254,1002,3,24.5547
56492,1002,7,40.9109
56500,1002,4,38.4718
56611,1002,8,38.6217
56618,1002,5,40.1399
56681,1002,4,33.1186
56769,1002,6,41.1912
56869,1002,5,32.428
56923,1002,6,47.8675
56968,1002,9,44.4626
56970,1002,5,33.899
57015,1002,4,42.4828
57267,1002,8,47.2522
57278,1002,5,37.6374
57341,1002,5,40.5728
57360,1002,4,35.5304
57438,1002,6,40.7955
57467,1002,2,32.4918
57481,1002,5,42.5558
57483,1002,5,45.0192
57566,1002,1,43.6157
57639,1002,3,38.549
57658,1002,3,26.8928
57672,1002,7,42.278
57714,1002,5,41.9312
57737,1002,6,26.6584
57877,1002,2,42.6834
58191,1002,4,22.7658
58191,1002,4,10.0275
58219,1002,9,42.3618
58247,1002,2,30.4183
58384,1002,8,45.1501
58402,1002,5,43.9037
58409,1002,5,39.0568
58451,1002,7,38.6811
58456,1002,9,42.6736
58457,1002,3,41.5726
58647,1002,5,37.8514
58679,1002,7,41.3685
58688,1002,4,37.1513
58765,1002,4,31.7766
58797,1002,9,27.1807
58827,1002,5,33.2794
58886,1002,3,41.3403
58910,1002,4,37.2742
58980,1002,5,41.9198
58990,1002,6,36.0185
59034,1002,2,32.0008
59048,1002,7,45.2666
59053,1002,5,33.7956
59100,1002,4,24.3877
59197,1002,4,41.3934
59272,1002,2,33.4271
59278,1002,4,37.6219
59297,1002,7,40.1543
59435,1002,8,42.3225
59661,1002,7,35.3725
59810,1002,7,39.8632
59822,1002,2,26.6483
60216,1002,3,36.4599
60328,1002,3,29.3677
60352,1002,6,39.3072
60417,1002,3,33.6376
60455,1002,7,36.8507
60519,1002,6,44.407
60545,1002,6,39.2563
60550,1002,5,31.5789
60562,1002,3,35.2566
60675,1002,5,35.2768
60705,1002,5,45.398
60734,1002,5,38.8725
60758,1002,6,38.1054
60801,1002,2,36.8573
60993,1002,4,37.0194
61046,1002,7,36.4887
61094,1002,3,45.7465
61249,1002,3,30.0046
61420,1002,2,38.7471
61506,1002,2,13.3345
61518,1002,3,47.6746
61526,1002,4,36.7364
61534,1002,6,43.6753
61561,1002,4,37.5756
61583,1002,7,35.1356
61625,1002,6,41.4797
61630,1002,2,31.9147
61639,1002,2,10.9098
61658,1002,7,45.8205
61811,1002,5,32.8147
62272,1002,2,31.7649
62323,1002,6,27.2981
62418,1002,7,35.3634
62482,1002,4,44.4073
62503,1002,7,38.4481
62557,1002,4,38.3945
62587,1002,6,38.1513
62622,1002,6,37.2508
62684,1002,4,31.1163
62729,1002,3,43.9346
62730,1002,4,30.6161
